"","job_skills","count"
"675","bi",15
"676","clinical research",15
"677","computational biology",15
"678","dashboard creation",15
"679","data discovery",15
"680","data loss prevention (dlp)",15
"681","data solutions",15
"682","data sources",15
"683","db2",15
"684","delta",15
"685","dimensional data modeling",15
"686","django",15
"687","domains",15
"688","etap",15
"689","facebook",15
"690","fastapi",15
"691","fraud detection",15
"692","giac",15
"693","glm",15
"694","hashicorp packer",15
"695","industrial engineering",15
"696","infrastructure as code",15
"697","installation",15
"698","inventory management",15
"699","logistic regression",15
"700","mediamixmodeling",15
"701","microsoft powerpoint",15
"702","model monitoring",15
"703","ms sql server",15
"704","performance metrics",15
"705","predictive modelling",15
"706","public health",15
"707","puppet",15
"708","remote access",15
"709","selfmotivation",15
"710","skm",15
"711","slack",15
"712","software testing",15
"713","tape storage",15
"714","user experience",15
"715","writing",15
"716","401k",14
"717","ai algorithms",14
"718","application development",14
"719","arc flash studies",14
"720","autonomy",14
"721","bicep",14
"722","business strategy",14
"723","caffe",14
"724","ccsp",14
"725","chemistry",14
"726","continuous learning",14
"727","data pre/post processing",14
"728","data representation",14
"729","data streaming",14
"730","etl development",14
"731","google bigquery",14
"732","hvac",14
"733","insurance",14
"734","maintenance",14
"735","manufacturing",14
"736","memcache",14
"737","model training",14
"738","monitoring",14
"739","pair programming",14
"740","physical cabling",14
"741","power cycling",14
"742","predictive models",14
"743","presentations",14
"744","prompt engineering",14
"745","prototyping",14
"746","rust",14
"747","segmentation",14
"748","soap",14
"749","solr",14
"750","teaching",14
"751","team work",14
"752","technical skills",14
"753","vendor management",14
"754","virtualization",14
"755","visio",14
"756","web services",14
"757","zoom",14
"758","agile software development",13
"759","aws redshift",13
"760","backup and recovery software",13
"761","cabling",13
"762","career pathing",13
"763","cloudbased databases",13
"764","cloudbased solutions",13
"765","cnns",13
"766","coordination",13
"767","dashboard development",13
"768","data catalog",13
"769","data sets",13
"770","data standardization",13
"771","data stewardship",13
"772","diagnostics commands",13
"773","ethics",13
"774","etl frameworks",13
"775","fastpaced environment",13
"776","functional programming",13
"777","gensim",13
"778","google ads",13
"779","iac",13
"780","inclusion",13
"781","linear programming",13
"782","marketing analytics",13
"783","mulesoft",13
"784","networks",13
"785","normalization",13
"786","power automate",13
"787","query optimization",13
"788","scripting languages",13
"789","servicenow",13
"790","statistical concepts",13
"791","step functions",13
"792","storage array configuration",13
"793","system design",13
"794","team management",13
"795","topic modeling",13
"796","ts/sci clearance",13
"797","typescript",13
"798","url filtering",13
"799","actionable insights",12
"800","adobe analytics",12
"801","apache flink",12
"802","apache nifi",12
"803","api integration",12
"804","aurora",12
"805","azure sql database",12
"806","azure synapse analytics",12
"807","business",12
"808","business requirements",12
"809","cisco",12
"810","cloudera",12
"811","continuous improvement",12
"812","dagster",12
"813","data center operations",12
"814","data curation",12
"815","data entry",12
"816","data ethics",12
"817","data insights",12
"818","data pipeline development",12
"819","data reconciliation",12
"820","data sharing",12
